Redshift,AppMag,DAppMag
 0.2858, 21.0006, 0.1737
 0.1976, 20.3125, 0.0812
 0.2315, 20.5922, 0.1127
 0.2314, 20.5143, 0.1126
 0.1170, 19.0091, 0.0272
 0.2060, 20.3212, 0.0884
 0.1856, 19.8904, 0.0712
 0.3003, 21.2417, 0.1921
 0.1437, 19.4194, 0.0418
 0.2691, 21.0896, 0.1536
 0.1857, 20.0179, 0.0713
 0.1754, 19.8977, 0.0633
 0.1510, 19.5532, 0.0463
 0.1432, 19.5135, 0.0415
 0.2187, 20.6208, 0.1001
 0.2224, 20.5541, 0.1037
 0.0561, 17.3476, 0.0060
 0.2971, 21.1991, 0.1879
 0.2935, 20.9253, 0.1833
 0.2233, 20.5191, 0.1046
 0.2877, 21.2865, 0.1761
 0.1347, 19.3446, 0.0365
 0.1749, 19.9201, 0.0629
 0.2474, 20.7612, 0.1293
 0.2993, 21.2257, 0.1907
 0.2105, 20.3800, 0.0926
 0.1462, 19.5553, 0.0433
 0.2414, 20.6046, 0.1229
 0.1165, 19.0104, 0.0270
 0.2782, 21.0128, 0.1644
 0.2103, 20.3841, 0.0924
 0.2982, 21.2592, 0.1893
 0.2736, 20.9857, 0.1589
 0.2708, 21.2716, 0.1556
 0.2428, 20.7840, 0.1244
 0.2897, 21.1055, 0.1786
 0.0359, 16.3649, 0.0024
 0.2312, 20.4557, 0.1124
 0.2610, 21.1021, 0.1443
 0.2884, 21.0967, 0.1769
 0.2299, 20.6951, 0.1111
 0.2304, 20.6776, 0.1116
 0.2595, 20.8629, 0.1426
 0.2943, 20.9064, 0.1844
 0.2925, 21.1576, 0.1821
 0.1838, 19.9315, 0.0698
 0.2721, 20.7749, 0.1571
 0.2524, 20.7258, 0.1347
 0.2312, 20.6961, 0.1124
 0.2631, 20.8379, 0.1467
 0.2308, 20.7477, 0.1120
 0.2556, 20.7531, 0.1382
 0.1503, 19.5174, 0.0459
 0.2108, 20.3801, 0.0928
 0.2190, 20.3442, 0.1005
 0.2605, 20.9356, 0.1437
 0.2725, 21.2916, 0.1576
 0.2938, 20.8774, 0.1838
 0.2920, 21.1216, 0.1814
 0.2861, 21.2917, 0.1741
 0.1534, 19.6695, 0.0479
 0.2257, 20.5664, 0.1069
 0.2809, 20.8430, 0.1677
 0.1484, 19.5818, 0.0447
 0.2873, 20.9802, 0.1755
 0.2517, 20.8153, 0.1339
 0.3024, 21.3139, 0.1948
 0.1640, 19.7436, 0.0550
 0.2630, 21.2503, 0.1465
 0.1938, 20.0723, 0.0779
 0.3039, 21.2502, 0.1967
 0.2595, 20.8117, 0.1426
 0.2409, 20.6696, 0.1223
 0.2426, 20.7605, 0.1241
 0.2270, 20.5164, 0.1082
 0.2647, 20.9603, 0.1484
 0.1713, 19.8587, 0.0602
 0.2069, 20.2984, 0.0892
 0.2021, 20.1446, 0.0851
 0.3036, 20.9749, 0.1963
 0.2812, 20.7073, 0.1681
 0.2676, 21.0110, 0.1518
 0.2853, 21.2077, 0.1730
 0.1963, 20.0539, 0.0800
 0.2202, 20.3828, 0.1016
 0.2927, 21.0142, 0.1823
 0.3014, 21.1415, 0.1935
 0.2945, 21.2383, 0.1846
 0.0949, 18.5284, 0.0176
 0.3035, 21.1194, 0.1962
 0.1107, 18.8863, 0.0243
 0.2980, 21.0367, 0.1890
 0.2443, 20.5274, 0.1260
 0.2814, 21.2834, 0.1683
 0.2686, 20.9027, 0.1530
 0.1837, 20.0307, 0.0697
 0.1754, 19.9050, 0.0633
 0.2812, 20.9318, 0.1680
 0.1302, 19.2505, 0.0340
 0.2803, 21.0590, 0.1670
 0.1572, 19.6230, 0.0504
 0.2850, 21.3908, 0.1726
 0.2183, 20.4482, 0.0998
 0.0997, 18.6087, 0.0195
 0.2369, 20.4794, 0.1182
 0.1795, 20.0766, 0.0664
 0.2543, 20.7949, 0.1367
 0.2210, 20.5518, 0.1023
 0.1180, 19.0266, 0.0277
 0.2991, 21.0107, 0.1905
 0.2153, 20.3157, 0.0970
 0.2454, 20.8132, 0.1271
 0.3034, 20.9872, 0.1960
 0.2302, 20.6472, 0.1114
 0.1526, 19.6540, 0.0474
 0.2473, 20.8813, 0.1292
 0.3039, 21.1870, 0.1967
 0.2751, 20.8443, 0.1606
 0.2800, 21.0998, 0.1666
 0.2239, 20.4849, 0.1051
 0.2476, 20.9126, 0.1295
 0.2682, 20.8144, 0.1526
 0.2812, 20.9886, 0.1680
 0.1390, 19.3919, 0.0390
 0.2007, 20.1759, 0.0838
 0.2741, 21.1495, 0.1595
 0.2936, 21.0859, 0.1834
 0.2826, 21.1693, 0.1697
 0.0959, 18.5783, 0.0180
 0.2259, 20.6036, 0.1071
 0.2786, 21.0666, 0.1648
 0.1647, 19.8486, 0.0556
 0.2120, 20.3952, 0.0939
 0.2391, 20.7386, 0.1205
 0.2277, 20.4999, 0.1089
 0.1737, 19.8974, 0.0620
 0.1746, 19.9286, 0.0627
 0.2154, 20.4405, 0.0971
 0.2642, 20.9216, 0.1479
 0.2176, 20.5790, 0.0991
 0.1192, 19.0562, 0.0283
 0.2329, 20.7906, 0.1141
 0.2514, 20.9180, 0.1336
 0.2433, 20.6359, 0.1249
 0.2394, 20.6500, 0.1207
 0.2499, 20.7710, 0.1319
 0.2952, 21.3932, 0.1855
 0.0575, 17.4020, 0.0063
 0.2744, 20.8347, 0.1599
 0.2624, 20.6691, 0.1458
 0.2367, 20.6647, 0.1180
 0.1645, 19.7137, 0.0554
 0.1885, 20.0791, 0.0735
 0.2846, 21.2884, 0.1722
 0.2922, 21.3914, 0.1817
 0.2628, 20.7497, 0.1464
 0.1872, 20.1307, 0.0725
 0.2436, 20.7262, 0.1252
 0.2145, 20.3226, 0.0962
 0.2437, 20.5780, 0.1253
 0.2841, 20.7973, 0.1716
 0.2461, 20.7689, 0.1279
 0.2059, 20.3502, 0.0884
 0.1792, 19.9464, 0.0662
 0.1403, 19.4501, 0.0398
 0.2996, 21.0669, 0.1911
 0.3019, 21.3181, 0.1941
 0.1224, 19.0541, 0.0299
 0.1466, 19.5535, 0.0436
 0.2778, 21.1915, 0.1639
 0.2843, 20.8701, 0.1718
 0.1244, 19.1381, 0.0309
 0.3026, 21.4079, 0.1951
 0.2747, 21.0453, 0.1602
 0.2374, 20.7129, 0.1187
 0.1495, 19.6098, 0.0454
 0.2600, 20.8357, 0.1431
 0.1991, 20.2012, 0.0825
 0.2800, 21.2413, 0.1666
 0.2050, 20.3505, 0.0876
 0.2933, 21.0035, 0.1831
 0.2671, 20.9970, 0.1512
 0.2187, 20.5070, 0.1002
 0.2521, 20.8431, 0.1344
 0.2034, 20.3206, 0.0862
 0.1647, 19.8347, 0.0555
 0.2480, 20.7718, 0.1299
 0.1827, 20.0671, 0.0689
 0.2435, 20.4753, 0.1251
 0.2715, 20.8997, 0.1565
 0.2881, 21.3813, 0.1766
 0.1841, 20.0218, 0.0700
 0.1786, 20.0901, 0.0657
 0.2078, 20.2622, 0.0901
 0.2303, 20.3570, 0.1115
 0.1942, 20.2709, 0.0783
 0.1950, 20.2394, 0.0789
 0.2608, 20.8569, 0.1441
 0.2809, 20.9830, 0.1676
 0.2426, 20.6679, 0.1241
 0.2693, 21.0549, 0.1539
 0.1290, 19.2294, 0.0333
 0.2182, 20.3484, 0.0997
 0.2412, 20.7697, 0.1227
 0.1976, 20.2841, 0.0812
 0.0986, 18.6368, 0.0191
 0.2123, 20.3890, 0.0942
