Redshift,K-band mag,K-band dmag
 0.090, 15.655, 0.003
 0.141, 18.427, 0.040
 0.182, 21.864, 0.686
 0.126, 15.612, 0.003
 0.148, 19.341, 0.090
 0.180, 20.686, 0.283
 0.157, 20.605, 0.265
 0.123, 18.437, 0.040
 0.157, 20.991, 0.361
 0.182, 21.975, 0.740
 0.197, 21.173, 0.416
 0.180, 20.058, 0.168
 0.170, 20.936, 0.346
 0.084, 15.346, 0.002
 0.088, 20.566, 0.257
 0.134, 21.546, 0.549
 0.192, 16.746, 0.009
 0.093, 21.030, 0.372
 0.073, 20.088, 0.172
 0.189, 21.548, 0.550
 0.192, 19.266, 0.084
 0.075, 15.201, 0.002
 0.073, 20.540, 0.251
 0.124, 21.076, 0.386
 0.142, 19.329, 0.089
 0.068, 18.337, 0.037
 0.144, 19.196, 0.079
 0.046, 17.334, 0.015
 0.128, 17.709, 0.021
 0.153, 21.904, 0.706
 0.144, 18.716, 0.051
 0.153, 20.929, 0.344
 0.182, 17.651, 0.020
 0.182, 17.940, 0.025
 0.075, 21.566, 0.557
 0.089, 19.737, 0.127
 0.097, 21.190, 0.422
 0.119, 19.735, 0.127
 0.157, 18.162, 0.031
 0.191, 20.556, 0.255
 0.184, 18.649, 0.048
 0.100, 20.531, 0.250
 0.170, 18.479, 0.042
 0.162, 19.761, 0.130
 0.105, 20.066, 0.169
 0.192, 21.278, 0.450
 0.040, 19.728, 0.126
 0.198, 20.664, 0.278
 0.136, 21.490, 0.527
 0.175, 16.490, 0.007
 0.186, 18.245, 0.034
 0.182, 19.533, 0.107
 0.100, 20.950, 0.350
 0.119, 18.638, 0.048
 0.175, 21.327, 0.467
 0.199, 20.644, 0.274
 0.153, 12.558, 0.000
 0.123, 21.214, 0.429
 0.157, 20.806, 0.312
 0.145, 17.859, 0.024
 0.175, 17.167, 0.013
 0.115, 17.872, 0.024
 0.038, 14.617, 0.001
 0.164, 21.921, 0.714
 0.100, 21.657, 0.595
 0.175, 21.606, 0.573
 0.136, 18.830, 0.057
 0.121, 21.894, 0.701
 0.127, 20.704, 0.287
 0.076, 20.419, 0.227
 0.173, 19.927, 0.150
 0.178, 19.307, 0.087
 0.154, 17.890, 0.024
 0.113, 21.974, 0.740
 0.164, 16.133, 0.005
 0.187, 21.539, 0.546
 0.154, 19.799, 0.134
 0.037, 18.740, 0.053
 0.071, 21.670, 0.600
 0.057, 21.581, 0.563
 0.125, 21.697, 0.612
 0.176, 16.689, 0.008
 0.186, 21.903, 0.705
 0.121, 20.687, 0.284
 0.044, 14.708, 0.001
 0.190, 20.930, 0.344
 0.162, 19.047, 0.069
 0.197, 20.244, 0.196
 0.199, 20.423, 0.228
 0.096, 21.697, 0.612
 0.110, 19.285, 0.086
 0.163, 21.657, 0.594
 0.199, 19.862, 0.142
 0.098, 19.710, 0.124
 0.154, 21.748, 0.634
 0.118, 21.628, 0.583
 0.184, 20.865, 0.327
 0.162, 21.562, 0.556
 0.081, 19.260, 0.084
 0.183, 21.480, 0.523
 0.174, 17.773, 0.022
 0.119, 21.984, 0.745
 0.161, 20.620, 0.268
 0.163, 19.661, 0.119
 0.101, 21.974, 0.739
 0.104, 14.801, 0.001
 0.184, 13.825, 0.001
 0.167, 19.526, 0.106
 0.131, 21.266, 0.446
 0.154, 19.112, 0.073
 0.164, 19.894, 0.146
 0.106, 21.251, 0.441
 0.108, 21.189, 0.421
 0.075, 18.734, 0.052
 0.147, 21.046, 0.377
 0.129, 21.118, 0.399
 0.120, 19.674, 0.120
 0.183, 19.957, 0.154
 0.131, 20.002, 0.160
 0.106, 20.910, 0.339
 0.188, 18.328, 0.036
 0.131, 21.502, 0.532
 0.058, 21.574, 0.561
 0.185, 20.958, 0.352
 0.151, 19.394, 0.094
 0.158, 19.403, 0.095
 0.179, 18.720, 0.052
 0.131, 21.087, 0.389
 0.186, 20.460, 0.235
 0.133, 21.164, 0.413
 0.101, 21.432, 0.505
 0.019, 16.863, 0.010
 0.048, 20.076, 0.170
 0.170, 21.567, 0.557
 0.112, 20.797, 0.310
 0.163, 20.967, 0.355
 0.142, 18.564, 0.045
 0.103, 19.112, 0.073
 0.032, 20.806, 0.312
 0.162, 20.732, 0.294
 0.156, 21.723, 0.623
 0.079, 21.582, 0.564
 0.104, 19.732, 0.127
 0.126, 20.737, 0.295
 0.110, 15.526, 0.003
 0.146, 19.352, 0.091
 0.195, 19.043, 0.069
 0.104, 21.672, 0.601
 0.119, 18.339, 0.037
 0.050, 13.716, 0.001
 0.103, 21.374, 0.484
 0.114, 14.764, 0.001
 0.136, 20.517, 0.247
 0.123, 17.963, 0.026
 0.077, 16.572, 0.007
 0.147, 17.615, 0.019
 0.162, 20.849, 0.323
 0.081, 18.002, 0.027
 0.146, 20.072, 0.170
 0.093, 21.999, 0.752
 0.200, 18.509, 0.043
 0.168, 20.859, 0.326
 0.020, 18.883, 0.060
 0.140, 15.127, 0.002
 0.147, 21.479, 0.523
 0.054, 21.658, 0.595
 0.062, 19.574, 0.110
 0.161, 18.543, 0.044
 0.093, 21.582, 0.563
 0.169, 20.851, 0.324
 0.177, 20.177, 0.186
 0.016, 19.964, 0.155
 0.185, 20.879, 0.331
 0.152, 17.545, 0.018
 0.193, 19.823, 0.137
 0.093, 20.189, 0.188
 0.066, 21.958, 0.732
 0.091, 21.930, 0.718
 0.114, 20.777, 0.305
 0.154, 21.187, 0.420
 0.191, 16.161, 0.005
 0.188, 17.865, 0.024
 0.111, 21.930, 0.718
 0.036, 20.613, 0.267
 0.110, 21.296, 0.457
 0.136, 20.830, 0.318
 0.175, 18.931, 0.062
 0.198, 19.652, 0.118
 0.157, 18.811, 0.056
 0.176, 14.784, 0.001
 0.079, 15.658, 0.003
 0.087, 18.068, 0.029
 0.197, 21.247, 0.440
 0.115, 20.296, 0.205
 0.176, 21.456, 0.514
 0.119, 21.865, 0.687
 0.130, 19.643, 0.117
 0.175, 14.573, 0.001
 0.148, 20.688, 0.284
 0.176, 19.516, 0.105
 0.178, 21.831, 0.671
 0.107, 21.811, 0.662
 0.144, 18.264, 0.034
 0.039, 19.797, 0.134
 0.160, 21.020, 0.369
 0.180, 21.753, 0.636
 0.149, 21.895, 0.701
 0.152, 18.563, 0.045
 0.134, 21.066, 0.383
 0.112, 21.710, 0.617
 0.195, 19.025, 0.068
 0.200, 18.738, 0.053
 0.131, 19.660, 0.119
 0.155, 17.031, 0.011
 0.093, 13.357, 0.000
 0.190, 21.385, 0.488
 0.172, 18.073, 0.029
 0.154, 17.493, 0.017
 0.140, 20.606, 0.265
 0.142, 18.217, 0.033
 0.086, 21.585, 0.565
 0.165, 19.992, 0.159
 0.155, 19.168, 0.077
 0.199, 20.423, 0.228
 0.166, 20.431, 0.230
 0.136, 19.984, 0.158
 0.173, 19.731, 0.127
 0.164, 21.843, 0.677
 0.161, 21.474, 0.521
 0.124, 20.310, 0.208
 0.149, 19.212, 0.080
 0.092, 20.835, 0.319
 0.153, 16.704, 0.008
 0.114, 20.030, 0.164
 0.186, 15.990, 0.004
 0.136, 21.607, 0.574
 0.181, 19.788, 0.133
 0.130, 15.977, 0.004
 0.083, 21.552, 0.552
 0.139, 18.147, 0.031
 0.193, 19.408, 0.095
 0.174, 17.249, 0.014
 0.092, 17.861, 0.024
 0.135, 21.165, 0.413
 0.131, 20.826, 0.317
 0.157, 19.818, 0.137
 0.125, 19.292, 0.086
 0.148, 20.620, 0.269
 0.154, 20.368, 0.218
 0.137, 20.544, 0.252
 0.179, 21.634, 0.585
 0.176, 19.863, 0.142
 0.102, 21.787, 0.651
 0.027, 19.227, 0.081
 0.125, 20.231, 0.194
 0.111, 19.980, 0.157
 0.188, 20.377, 0.220
 0.111, 13.876, 0.001
 0.113, 18.569, 0.045
 0.190, 20.522, 0.248
 0.074, 18.827, 0.057
 0.062, 21.557, 0.554
 0.045, 20.192, 0.188
 0.195, 20.415, 0.227
 0.189, 18.800, 0.056
 0.191, 17.098, 0.012
 0.053, 21.851, 0.681
 0.200, 21.883, 0.696
 0.149, 19.133, 0.075
 0.122, 18.893, 0.060
 0.098, 17.522, 0.017
 0.118, 18.665, 0.049
 0.175, 20.230, 0.194
 0.174, 21.689, 0.608
 0.181, 20.745, 0.297
 0.186, 17.111, 0.012
 0.176, 20.281, 0.203
 0.146, 20.611, 0.267
 0.189, 18.528, 0.043
 0.162, 21.718, 0.621
 0.035, 19.751, 0.129
 0.136, 17.349, 0.015
 0.126, 21.532, 0.544
 0.140, 20.547, 0.253
 0.199, 21.407, 0.496
 0.156, 21.924, 0.715
 0.193, 20.739, 0.296
 0.194, 20.986, 0.360
 0.121, 20.239, 0.196
 0.132, 21.669, 0.600
 0.193, 16.679, 0.008
 0.173, 20.071, 0.170
 0.198, 21.964, 0.735
 0.142, 16.363, 0.006
 0.147, 19.815, 0.136
 0.108, 15.271, 0.002
 0.154, 18.531, 0.044
 0.075, 14.297, 0.001
 0.073, 17.374, 0.015
 0.097, 18.067, 0.029
 0.097, 18.280, 0.035
 0.161, 18.793, 0.055
 0.186, 21.918, 0.712
 0.122, 18.542, 0.044
 0.047, 21.677, 0.603
 0.115, 21.640, 0.587
 0.194, 20.137, 0.179
 0.062, 20.595, 0.263
 0.060, 18.623, 0.047
 0.050, 16.358, 0.006
 0.197, 18.753, 0.053
 0.020, 19.153, 0.076
 0.130, 21.496, 0.530
 0.140, 21.667, 0.599
 0.114, 15.909, 0.004
 0.164, 20.207, 0.191
 0.156, 19.269, 0.084
 0.156, 20.818, 0.315
 0.107, 20.001, 0.160
 0.127, 15.363, 0.002
 0.174, 21.283, 0.452
 0.177, 16.927, 0.010
 0.175, 19.321, 0.088
 0.097, 21.939, 0.723
 0.173, 17.594, 0.019
 0.132, 21.728, 0.625
 0.091, 21.640, 0.587
 0.132, 21.692, 0.610
 0.119, 20.984, 0.359
 0.161, 14.072, 0.001
 0.166, 18.175, 0.032
 0.104, 21.190, 0.421
 0.100, 19.651, 0.118
 0.091, 12.690, 0.000
 0.140, 18.621, 0.047
 0.126, 17.516, 0.017
 0.029, 16.016, 0.004
 0.186, 20.949, 0.350
 0.141, 21.485, 0.526
 0.177, 19.772, 0.131
 0.141, 20.761, 0.301
 0.187, 19.335, 0.089
 0.127, 17.619, 0.019
 0.196, 17.307, 0.014
 0.148, 17.815, 0.023
 0.166, 14.954, 0.002
 0.107, 19.523, 0.106
 0.162, 21.876, 0.692
 0.154, 16.177, 0.005
 0.117, 19.338, 0.090
 0.149, 14.602, 0.001
 0.084, 21.894, 0.701
 0.122, 21.001, 0.364
 0.086, 21.259, 0.444
 0.182, 20.536, 0.251
 0.085, 17.704, 0.021
 0.062, 21.445, 0.510
 0.168, 21.875, 0.692
 0.164, 20.566, 0.257
 0.152, 21.171, 0.415
 0.063, 17.606, 0.019
 0.050, 16.668, 0.008
 0.162, 16.637, 0.008
 0.174, 21.971, 0.738
 0.173, 21.769, 0.643
 0.075, 20.371, 0.219
 0.161, 20.105, 0.175
 0.189, 20.406, 0.225
 0.090, 21.570, 0.559
 0.159, 21.674, 0.602
 0.071, 20.620, 0.268
 0.054, 15.880, 0.004
 0.183, 20.433, 0.230
 0.103, 21.248, 0.440
 0.132, 19.949, 0.153
 0.088, 14.747, 0.001
 0.064, 18.061, 0.028
 0.129, 19.637, 0.117
 0.178, 20.513, 0.246
 0.146, 17.289, 0.014
 0.148, 21.563, 0.556
 0.128, 21.419, 0.500
 0.139, 19.618, 0.115
 0.185, 21.231, 0.435
 0.186, 21.318, 0.464
 0.176, 19.947, 0.153
 0.146, 20.512, 0.246
 0.050, 21.770, 0.644
 0.134, 18.328, 0.036
 0.196, 20.140, 0.180
 0.118, 19.169, 0.077
 0.131, 21.532, 0.544
 0.182, 17.533, 0.018
 0.172, 18.511, 0.043
 0.079, 20.316, 0.209
 0.082, 21.522, 0.540
 0.187, 21.972, 0.739
 0.118, 19.098, 0.072
 0.185, 16.309, 0.006
 0.159, 18.191, 0.032
 0.096, 18.056, 0.028
 0.107, 20.632, 0.271
 0.090, 16.313, 0.006
 0.115, 21.697, 0.612
 0.152, 21.255, 0.443
 0.190, 20.213, 0.191
 0.154, 19.648, 0.118
 0.073, 19.674, 0.120
 0.162, 19.083, 0.072
 0.081, 19.590, 0.112
 0.104, 19.810, 0.136
 0.122, 20.081, 0.171
 0.167, 19.834, 0.138
 0.084, 21.577, 0.561
 0.022, 20.856, 0.325
 0.097, 20.567, 0.257
 0.189, 14.925, 0.002
 0.193, 16.161, 0.005
 0.154, 21.158, 0.411
 0.117, 19.937, 0.151
 0.121, 19.740, 0.128
 0.116, 19.192, 0.079
 0.192, 18.614, 0.047
 0.100, 21.018, 0.369
 0.129, 20.340, 0.213
 0.124, 18.861, 0.059
 0.183, 20.268, 0.200
 0.198, 20.988, 0.360
 0.170, 15.714, 0.003
 0.084, 19.652, 0.118
 0.136, 20.922, 0.342
 0.184, 19.024, 0.068
 0.107, 18.518, 0.043
 0.089, 17.531, 0.018
 0.050, 21.420, 0.501
 0.090, 20.697, 0.286
 0.131, 19.850, 0.140
 0.190, 20.437, 0.231
 0.186, 18.734, 0.052
 0.065, 21.394, 0.491
 0.039, 21.860, 0.685
 0.176, 21.285, 0.453
 0.077, 17.881, 0.024
 0.082, 16.037, 0.004
 0.068, 20.094, 0.173
 0.093, 19.611, 0.114
 0.163, 21.529, 0.542
 0.183, 20.423, 0.228
 0.115, 20.285, 0.203
 0.197, 18.758, 0.053
 0.198, 19.022, 0.068
 0.129, 14.292, 0.001
 0.157, 20.162, 0.183
 0.157, 17.851, 0.024
 0.169, 20.582, 0.260
 0.134, 16.433, 0.006
 0.119, 17.470, 0.017
 0.099, 21.780, 0.648
 0.050, 15.545, 0.003
 0.152, 19.849, 0.140
 0.130, 18.046, 0.028
 0.029, 18.703, 0.051
 0.057, 20.649, 0.275
 0.195, 15.201, 0.002
 0.114, 20.109, 0.175
 0.167, 20.175, 0.185
 0.191, 18.588, 0.046
 0.091, 19.723, 0.126
 0.129, 17.998, 0.027
 0.167, 21.335, 0.470
 0.072, 21.688, 0.608
 0.081, 20.601, 0.264
 0.156, 17.782, 0.022
 0.095, 19.906, 0.147
 0.037, 18.674, 0.050
 0.174, 20.631, 0.271
 0.130, 21.842, 0.676
 0.079, 21.183, 0.419
 0.150, 13.002, 0.000
 0.197, 18.688, 0.050
 0.123, 18.885, 0.060
 0.129, 21.599, 0.570
 0.096, 13.747, 0.001
 0.192, 21.658, 0.595
 0.106, 20.369, 0.218
 0.087, 16.322, 0.006
 0.184, 19.190, 0.079
 0.105, 21.647, 0.590
 0.081, 21.077, 0.386
 0.165, 20.775, 0.304
 0.112, 15.240, 0.002
 0.085, 21.812, 0.663
 0.154, 18.791, 0.055
 0.155, 21.597, 0.570
 0.040, 20.211, 0.191
 0.139, 19.987, 0.158
 0.092, 19.824, 0.137
 0.132, 21.523, 0.540
 0.154, 14.381, 0.001
 0.121, 17.368, 0.015
 0.166, 21.580, 0.563
 0.176, 18.154, 0.031
 0.121, 15.924, 0.004
 0.160, 20.214, 0.192
 0.159, 19.341, 0.090
 0.113, 21.892, 0.700
 0.200, 19.629, 0.116
 0.010, 14.588, 0.001
 0.106, 21.125, 0.401
 0.112, 18.927, 0.062
 0.103, 12.516, 0.000
 0.159, 13.474, 0.000
 0.180, 20.013, 0.161
 0.158, 21.308, 0.461
 0.073, 20.425, 0.229
 0.077, 21.329, 0.468
 0.105, 21.947, 0.726
 0.177, 21.689, 0.608
 0.197, 19.664, 0.119
 0.197, 18.816, 0.056
 0.184, 17.961, 0.026
 0.184, 21.922, 0.714
 0.154, 18.351, 0.037
 0.174, 19.986, 0.158
 0.044, 16.155, 0.005
 0.196, 19.720, 0.125
 0.136, 21.273, 0.449
 0.182, 20.515, 0.246
 0.200, 21.758, 0.638
 0.126, 19.388, 0.094
 0.052, 17.413, 0.016
 0.154, 21.989, 0.747
 0.166, 18.745, 0.053
 0.148, 21.104, 0.394
 0.168, 21.892, 0.700
 0.142, 21.426, 0.503
 0.181, 20.020, 0.163
 0.086, 16.950, 0.010
 0.146, 21.926, 0.716
 0.106, 16.559, 0.007
 0.085, 21.726, 0.624
 0.187, 19.276, 0.085
 0.150, 16.726, 0.008
 0.135, 21.917, 0.712
 0.123, 21.899, 0.703
 0.173, 21.360, 0.479
 0.163, 21.435, 0.506
 0.167, 17.509, 0.017
 0.029, 18.576, 0.045
 0.177, 19.040, 0.069
 0.174, 19.434, 0.098
 0.082, 20.878, 0.330
 0.124, 21.804, 0.659
 0.182, 20.909, 0.339
 0.122, 21.332, 0.469
 0.186, 21.158, 0.411
 0.098, 20.333, 0.212
 0.159, 18.055, 0.028
 0.189, 20.431, 0.230
 0.085, 20.200, 0.189
 0.195, 20.210, 0.191
 0.145, 21.104, 0.394
 0.161, 20.749, 0.298
 0.148, 17.356, 0.015
 0.116, 16.830, 0.009
 0.116, 17.030, 0.011
 0.167, 14.787, 0.001
 0.158, 20.259, 0.199
 0.115, 16.452, 0.007
 0.136, 21.780, 0.648
 0.151, 20.023, 0.163
 0.090, 20.562, 0.256
 0.165, 20.700, 0.287
 0.084, 18.789, 0.055
 0.182, 17.691, 0.020
 0.190, 21.098, 0.393
 0.087, 20.852, 0.324
 0.049, 21.438, 0.508
 0.188, 21.294, 0.456
 0.084, 21.504, 0.533
 0.081, 20.969, 0.355
 0.184, 20.186, 0.187
 0.079, 20.599, 0.264
 0.194, 16.726, 0.008
 0.184, 21.775, 0.646
 0.113, 19.847, 0.140
 0.147, 21.259, 0.444
 0.097, 18.349, 0.037
 0.193, 20.253, 0.198
 0.138, 21.937, 0.722
 0.154, 18.014, 0.027
 0.163, 17.052, 0.011
 0.170, 18.156, 0.031
 0.129, 17.688, 0.020
 0.038, 20.557, 0.255
